,epoch_1_pred,epoch_1_labels
0,"[[-0.14133337 -0.06703717 -0.08466329  0.00135764  0.31952897]
 [-0.50008595  0.18442604 -0.15629333  0.30540192 -0.4836084 ]
 [-0.6393092   0.4837984  -0.3774126   0.11610479  0.00276172]
 [-0.5037287   0.08586802 -0.06108014  0.13737752 -0.24723005]
 [-0.26794034 -0.05498587 -0.16413361  0.04231786  0.19733258]
 [-0.27807364  0.08568431 -0.13970125  0.18950154 -0.07692501]
 [-0.3367796  -0.04006308 -0.18766852  0.06182314 -0.01598503]
 [-0.11527762 -0.15980048  0.00663146  0.03589129  0.00923937]]",[4 4 4 4 4 1 3 3]
1,"[[-0.4220044   0.14410175 -0.11428794  0.1229101  -0.07785577]
 [-0.21078229 -0.00718984 -0.07316133  0.25027725 -0.20460086]
 [-0.13975546 -0.20249707 -0.01866477  0.07603776 -0.05390196]
 [-0.14998701 -0.22993511 -0.0630946   0.21314295 -0.00550095]
 [-0.19548504 -0.03412134 -0.10167649  0.07147206 -0.02268279]
 [-0.6251874   0.21403968 -0.14186251  0.19564132 -0.3716424 ]
 [-0.17775327  0.0232888  -0.06736444  0.1488998  -0.12359264]
 [-0.21793646 -0.04737113 -0.11271237  0.0428682   0.21889755]]",[3 1 2 2 3 4 1 2]
2,"[[-0.4700652  -0.20394887 -0.0519829   0.15469156 -0.06896932]
 [-0.16902012 -0.14147559  0.04107594  0.05814962  0.02079025]
 [-0.19068341 -0.20401569 -0.06139507  0.05535844  0.01989555]
 [-0.42850193  0.01989462 -0.16482931  0.06707082  0.05511283]
 [-0.40998337  0.08988822 -0.10105425  0.28556004 -0.4841295 ]
 [-0.39237455  0.10587831 -0.15794362  0.18440576 -0.21932779]
 [-0.37765017 -0.02933584 -0.15284704  0.1458989  -0.08630271]
 [-0.5931359   0.0535554  -0.16150233  0.25498018 -0.38815716]]",[2 4 2 2 1 4 4 3]
3,"[[-0.11396077 -0.07898277 -0.04739648 -0.02758373  0.23109046]
 [-0.36063793 -0.11253653 -0.05783914  0.23138638 -0.2539928 ]
 [-0.31588626 -0.11714831 -0.13546644  0.19854508 -0.01899684]
 [-0.4287021   0.01388064 -0.15872386  0.18103123 -0.15559529]
 [-0.41925722  0.03669549 -0.2132892   0.12475293 -0.13039073]
 [-0.5443505   0.33727354 -0.21185002 -0.03410846  0.1812857 ]
 [-0.40201664  0.05857996 -0.18078695  0.2428237  -0.33765718]
 [-0.3300683  -0.09007442 -0.03953326  0.06736613 -0.05600127]]",[4 3 1 1 1 2 1 3]
4,"[[-0.06067589 -0.14570552 -0.00367986  0.05703195 -0.03031606]
 [-0.40299916  0.11775202 -0.12463434  0.19184133 -0.25620878]
 [-0.47363645  0.18790184 -0.263029    0.20201534 -0.19320051]
 [-0.2937411  -0.11474111 -0.02532227  0.19529024 -0.22233348]
 [-0.42866018  0.00405375 -0.00968914  0.2264778  -0.2850877 ]
 [-0.55542207 -0.0013021  -0.10660901  0.20765932 -0.24525233]
 [-0.25885537 -0.12179541 -0.09537034  0.17204781 -0.0045979 ]
 [-0.21919082 -0.19028571 -0.06044018  0.16876385 -0.18210556]]",[2 1 1 2 2 2 0 2]
5,"[[-0.1903169  -0.3327876   0.04393518  0.18913934 -0.16324031]
 [-0.10887701 -0.20004196 -0.04184663  0.14295375 -0.19356646]
 [-0.1733064  -0.19832547 -0.11705106  0.06807625  0.11949924]
 [-0.3281394  -0.05725585 -0.10573597  0.16759911 -0.20462568]
 [-0.22277872  0.06783588 -0.05706268  0.22131546 -0.18270214]
 [-0.32611316 -0.05054904 -0.02643478  0.37373963 -0.5512047 ]
 [-0.6504488   0.22867915 -0.263501    0.15362135 -0.23254472]
 [-0.1856665  -0.1412718  -0.02374281  0.17309926 -0.18348087]]",[4 4 0 1 3 4 3 0]
6,"[[-0.45978835  0.01437377 -0.12088279  0.24439481 -0.25454837]
 [-0.2714846  -0.18664847 -0.04073447  0.23916936 -0.26673657]
 [-0.20857878 -0.09342785 -0.07115031  0.15579401 -0.16956674]
 [-0.13298212 -0.20444801  0.01714274  0.03798193 -0.08221241]
 [-0.5851503   0.32137382 -0.1957221   0.1636529  -0.2815973 ]
 [-0.468212    0.13110399 -0.16322577  0.08686101 -0.07150785]
 [-0.53316104  0.29307988 -0.15610039  0.08792429 -0.08317367]
 [-0.26020867 -0.20625135 -0.07396918  0.16949446 -0.20133154]]",[1 2 1 4 4 1 4 3]
7,"[[-0.5066875   0.09877166 -0.12146532  0.29600862 -0.4328311 ]
 [-0.5678914  -0.05827639 -0.12379981  0.187241   -0.08817192]
 [-0.609874    0.23786654 -0.18212149  0.24530478 -0.38421333]
 [-0.20837203 -0.02214612 -0.03027425  0.11706964 -0.2616178 ]
 [-0.42220795  0.14742693 -0.18526822  0.171335    0.12471522]
 [-0.25400707  0.04983886 -0.04851383  0.19464557 -0.04897316]
 [-0.488434    0.11217907 -0.08391879  0.17358899 -0.329079  ]
 [-0.0548266  -0.16963482  0.02077464  0.05887493 -0.0941477 ]]",[4 4 1 0 3 1 2 4]
8,"[[-0.4492389   0.02718807 -0.1480371   0.13170372 -0.12921578]
 [-0.50210536  0.07130814 -0.16771543  0.09537261  0.01121528]
 [-0.498391    0.13172238 -0.2623331   0.17577817  0.04566537]
 [-0.43645737  0.04185288 -0.09134413  0.21174753 -0.30956894]
 [-0.06662623 -0.272534   -0.04566127  0.19433597 -0.13492835]
 [ 0.17652129 -0.35005155  0.01911427  0.09084929 -0.1201058 ]
 [-0.4832716   0.06005619 -0.10946935  0.34795865 -0.5333432 ]
 [-0.2241984  -0.20001838  0.13528453  0.19399725 -0.2680712 ]]",[1 2 3 3 4 2 2 2]
9,"[[-0.1096808  -0.22826685  0.00223733  0.08509076 -0.30859977]
 [-0.35763118  0.15643013 -0.13061115  0.2865871  -0.44126353]
 [-0.5938393   0.23877195 -0.2769807   0.1251624  -0.09304747]
 [-0.36251408  0.02162856 -0.13631178  0.05601772  0.04847993]
 [-0.3803048  -0.08749443 -0.07618774  0.2651716  -0.27946916]
 [-0.39499277 -0.05398862 -0.14948268  0.12514678 -0.18053108]
 [-0.31086165 -0.1426198  -0.02687866  0.17197365 -0.18051091]
 [-0.35692966 -0.09326904  0.01030395  0.10196029 -0.18176201]]",[4 2 3 0 4 1 3 1]
