,epoch_1_pred,epoch_1_labels
0,"[[-3.186669   -2.5657644  -0.75501096 -4.4322815  -3.2162557 ]
 [-1.0668062  -1.768797   -1.6423858  -0.366944   -1.9804151 ]
 [-0.9582188  -0.9703494  -5.2672033   1.1067554  -3.0765316 ]
 [-1.9322782   0.17893179 -1.6132269   1.1998144  -4.329773  ]
 [-1.6338733  -0.8732839  -0.893054    0.7639657  -4.6379194 ]
 [-1.277803    1.2936951  -2.8953316   0.48906186 -2.6511111 ]
 [-1.3907872  -2.1732414  -4.5397787   0.5138974  -2.8460705 ]
 [-0.4388163  -0.9762106  -3.1755135   1.231424   -1.9024092 ]]",[3 1 1 2 2 2 4 4]
1,"[[-2.912936   -3.296342   -0.59357166 -0.813917   -3.6888938 ]
 [-2.124055   -3.8245823  -1.5925756  -0.38982174 -3.704303  ]
 [-0.43669763 -2.7871277  -1.3714055   0.12551962 -1.6610914 ]
 [-1.814326   -0.09350104 -2.9571524   1.347355   -1.162301  ]
 [-0.5106649   0.5303337  -3.9301033   0.2339796   0.05854922]
 [-2.3430133  -2.671882   -2.7272446   1.6129987  -0.00880842]
 [-2.8078923  -2.8672311  -3.503691    1.6130627  -1.1744304 ]
 [-1.4303594  -2.7976363  -3.041528   -0.86000556 -2.4022045 ]]",[2 3 3 4 4 1 1 3]
2,"[[-3.2050712  -2.5711362   0.69488925  0.6878158  -3.8375018 ]
 [-2.6280258  -1.8387805  -1.8399798   0.02210396 -2.296336  ]
 [-2.8595793  -2.2601469  -4.8616223   3.4713707  -2.4784377 ]
 [-1.8118241  -1.8222811  -2.0255947   0.47290927 -1.6503049 ]
 [-2.7411659  -2.499098   -2.638829   -1.1813711  -3.414772  ]
 [ 0.7278004   2.4286718  -3.1339636   1.7721995  -0.24846782]
 [ 0.6056183  -3.786851   -1.9594418   0.20384362  0.6367247 ]
 [-1.2989318  -1.9133993  -1.373378    1.0565404  -1.4502708 ]]",[4 3 1 1 3 2 3 4]
3,"[[-0.59300464  0.27791536 -2.2956586  -0.4148664  -4.0943584 ]
 [-2.3074758  -0.16456516 -2.1295352  -0.5893279  -3.0108788 ]
 [-3.9910705  -0.09785901 -3.8538568  -0.69844    -3.869848  ]
 [ 0.44267535 -3.4656205  -4.899844    0.31648898 -1.7581333 ]
 [-3.009279   -2.2052991  -4.1373196   0.480492   -4.366241  ]
 [ 0.54658717 -2.0174065  -2.6152816   0.92820174 -1.3136697 ]
 [-2.7667584  -4.2059064   0.27219686 -1.0184059  -2.9306233 ]
 [-0.33860615  0.7892649  -1.6279366   1.2876139  -4.0353627 ]]",[3 4 2 1 2 3 3 2]
4,"[[-0.6878193  -1.3405339  -3.121166    0.2699483  -1.6575624 ]
 [-1.4312977  -0.85259384 -2.0387137  -0.08137665 -2.6233659 ]
 [-1.3071048  -2.8855247  -3.4967902   1.8130065  -4.0309267 ]
 [-2.0380914  -3.8062158  -3.1453657  -0.02555335 -1.0064244 ]
 [-0.0377085  -1.2961787  -2.397341   -0.37755257 -2.866032  ]
 [-1.0463389  -3.1166677  -4.1708903   1.1496313  -2.940852  ]
 [-1.7378509  -1.2599274  -2.942593    0.4739378  -1.6650248 ]
 [-1.2406952  -1.1799729  -3.3656402   0.41203862 -2.4675303 ]]",[4 3 1 1 0 4 1 2]
5,"[[-1.700219   -2.468009   -2.8641698  -0.85673195 -2.8384104 ]
 [-1.051766   -3.181451   -3.2339895  -2.0263991  -2.2541943 ]
 [-1.6777725  -1.3928238  -2.330885   -1.2724521  -4.226892  ]
 [-1.5528989  -0.9102156  -3.721412   -1.5769415  -2.8349032 ]
 [-3.5792758  -1.1321036  -2.7512379   1.2428328  -2.1667945 ]
 [-2.0852702  -1.4867138  -1.6958947   0.18046682 -0.8978583 ]
 [-1.3589422   0.32291356 -3.6402695   0.9637889  -2.8151183 ]
 [-1.9362152  -0.17108415 -2.4101582  -0.29984397 -4.7569313 ]]",[1 4 2 4 1 4 2 2]
6,"[[-1.7235043  -1.2840337  -2.338544   -0.46135846 -2.087719  ]
 [-2.4786773  -0.88325953 -1.1120857   1.3756893  -5.7792544 ]
 [-0.41703692  0.98399925 -4.550039   -0.32431164 -2.5970895 ]
 [ 1.1618721  -2.6499043  -1.5564991   0.68150294 -1.369991  ]
 [-2.810563   -2.103391   -2.1067421  -3.1581812  -0.94145405]
 [-2.6709208   2.539804   -0.60476345  1.6202204  -5.849162  ]
 [-2.9471304  -0.9196658  -0.37805244 -1.3591486  -3.0879595 ]
 [-0.17815633 -1.4143722  -3.642207    0.64586437 -1.9171368 ]]",[2 2 2 2 1 2 2 1]
7,"[[-2.59612     1.7761749  -2.1262312  -0.9979599  -2.4245372 ]
 [-1.2720524  -2.7840815  -1.3785758  -1.1597599  -2.291876  ]
 [-1.7156969  -1.7245035  -1.6112688   0.8107582  -0.32695243]
 [-3.7945654  -1.3494804  -3.1987922   0.01610292 -1.5116787 ]
 [-3.8553255  -3.2162967  -3.1940205  -0.7973066   0.07378218]
 [-2.9579096  -0.69892424 -1.1126634  -0.09237351 -1.5721052 ]
 [-3.20209    -2.62594    -2.0468345   0.28223163 -0.31635234]
 [-3.5898     -0.8464578  -1.6376432  -0.19447595 -0.78919685]]",[2 3 3 1 1 4 3 1]
8,"[[-2.9349566  -3.1563528  -2.111426   -1.636647   -1.4823254 ]
 [-3.1976917  -1.3440874  -0.97072804 -3.498639   -2.6185613 ]
 [-0.3336732  -2.3854718  -1.7492322  -0.16505708 -1.7030253 ]
 [-2.0502937  -2.6978102  -0.9656768  -0.03709536 -3.0620618 ]
 [-1.4224219   0.6702845  -2.0524926  -1.348466    0.14569187]
 [-0.30743536 -1.3265018  -2.349422   -2.2690809   2.2117743 ]
 [-3.1505027  -2.0346859  -3.619969   -2.5773745  -0.4070031 ]
 [-3.4635682  -2.9692774  -2.4673169   1.1897614  -1.1998904 ]]",[1 3 1 0 4 4 1 3]
9,"[[-8.2478875e-01  1.2470217e-03 -1.7221464e+00 -1.7552700e+00
  -1.9318532e+00]
 [ 3.8548020e-01  6.4466655e-01 -9.4255811e-01 -5.3849810e-01
  -3.7114322e+00]
 [-3.9147151e+00  1.9701495e+00 -1.9252216e+00 -2.0086429e+00
  -1.5747958e+00]
 [-3.5530572e+00 -2.3313844e+00 -3.4618375e-01 -2.6748574e+00
   1.0871959e+00]
 [ 4.6566853e-01 -1.8353194e+00 -2.4091160e+00 -4.7220257e-01
  -1.9801927e+00]
 [-2.2210529e+00 -1.6729106e+00 -1.7614659e+00 -1.5545325e+00
  -2.0987105e+00]
 [-3.0135455e+00 -2.5494876e+00 -1.1844910e+00 -1.2831746e+00
  -1.4846827e+00]
 [-1.9620188e+00 -1.4295719e+00 -1.4101058e+00 -2.9288760e-01
   7.7006590e-01]]",[3 1 4 4 2 2 1 1]
