BEiT
epoch 0 | accuracy: 0.8304444551467896 | loss: 0.5639520287513733
epoch 1 | accuracy: 0.8665555715560913 | loss: 0.44411301612854004
epoch 2 | accuracy: 0.8774444460868835 | loss: 0.4151133894920349
epoch 3 | accuracy: 0.8894444704055786 | loss: 0.3800947368144989
epoch 4 | accuracy: 0.8818889260292053 | loss: 0.4098937511444092
epoch 5 | accuracy: 0.8758888840675354 | loss: 0.46554791927337646
epoch 6 | accuracy: 0.8954444527626038 | loss: 0.3858177065849304
epoch 7 | accuracy: 0.8891111016273499 | loss: 0.43029993772506714
epoch 8 | accuracy: 0.8939999938011169 | loss: 0.42147353291511536
epoch 9 | accuracy: 0.9035555720329285 | loss: 0.40097659826278687
epoch 10 | accuracy: 0.9077777862548828 | loss: 0.38874518871307373
epoch 11 | accuracy: 0.9057778120040894 | loss: 0.39462408423423767
epoch 12 | accuracy: 0.9157778024673462 | loss: 0.3621109426021576
epoch 13 | accuracy: 0.9143333435058594 | loss: 0.36933520436286926
epoch 14 | accuracy: 0.9181111454963684 | loss: 0.36516693234443665
epoch 15 | accuracy: 0.9114444255828857 | loss: 0.37054315209388733
epoch 16 | accuracy: 0.9107778072357178 | loss: 0.3875344693660736
epoch 17 | accuracy: 0.9174444675445557 | loss: 0.36391231417655945
epoch 18 | accuracy: 0.917888879776001 | loss: 0.3587060570716858
epoch 19 | accuracy: 0.9203333258628845 | loss: 0.3569665849208832
