CSWin
epoch 0 | accuracy: 0.8816666603088379 | loss: 0.406430721282959
epoch 1 | accuracy: 0.8831111192703247 | loss: 0.3848373591899872
epoch 2 | accuracy: 0.8830000162124634 | loss: 0.4007178246974945
epoch 3 | accuracy: 0.894777774810791 | loss: 0.38812172412872314
epoch 4 | accuracy: 0.8876667022705078 | loss: 0.4387776851654053
epoch 5 | accuracy: 0.8896666765213013 | loss: 0.44720903038978577
epoch 6 | accuracy: 0.8997777700424194 | loss: 0.4271547496318817
epoch 7 | accuracy: 0.9092222452163696 | loss: 0.39329543709754944
epoch 8 | accuracy: 0.9117777943611145 | loss: 0.4017927050590515
epoch 9 | accuracy: 0.9135555624961853 | loss: 0.39418673515319824
epoch 10 | accuracy: 0.9083333611488342 | loss: 0.43208104372024536
epoch 11 | accuracy: 0.9153333306312561 | loss: 0.3956446349620819
epoch 12 | accuracy: 0.9075555801391602 | loss: 0.4344632625579834
epoch 13 | accuracy: 0.917555570602417 | loss: 0.38306623697280884
epoch 14 | accuracy: 0.917888879776001 | loss: 0.39144787192344666
epoch 15 | accuracy: 0.9166666865348816 | loss: 0.4050922393798828
epoch 16 | accuracy: 0.9207777976989746 | loss: 0.3880120515823364
epoch 17 | accuracy: 0.9225555658340454 | loss: 0.38347190618515015
epoch 18 | accuracy: 0.9221110939979553 | loss: 0.38578951358795166
epoch 19 | accuracy: 0.9208889007568359 | loss: 0.38808879256248474
