DeiT
epoch 0 | accuracy: 0.7202222347259521 | loss: 1.2815505266189575
epoch 1 | accuracy: 0.768666684627533 | loss: 1.0738568305969238
epoch 2 | accuracy: 0.777222216129303 | loss: 0.9897258877754211
epoch 3 | accuracy: 0.7863333225250244 | loss: 0.9045500159263611
epoch 4 | accuracy: 0.8091111183166504 | loss: 0.8235126733779907
epoch 5 | accuracy: 0.7848888635635376 | loss: 0.8251832127571106
epoch 6 | accuracy: 0.7929999828338623 | loss: 0.7926206588745117
epoch 7 | accuracy: 0.7995555400848389 | loss: 0.741923451423645
epoch 8 | accuracy: 0.7906666398048401 | loss: 0.7490016222000122
epoch 9 | accuracy: 0.8100000023841858 | loss: 0.690788745880127
epoch 10 | accuracy: 0.7975555658340454 | loss: 0.7147644758224487
epoch 11 | accuracy: 0.8092222213745117 | loss: 0.675794243812561
epoch 12 | accuracy: 0.7964444160461426 | loss: 0.7185629606246948
epoch 13 | accuracy: 0.808555543422699 | loss: 0.6533277034759521
epoch 14 | accuracy: 0.8001111149787903 | loss: 0.7009834051132202
epoch 15 | accuracy: 0.8069999814033508 | loss: 0.6658444404602051
epoch 16 | accuracy: 0.7931110858917236 | loss: 0.7097581624984741
epoch 17 | accuracy: 0.8114444613456726 | loss: 0.6442409157752991
epoch 18 | accuracy: 0.812333345413208 | loss: 0.6512582302093506
epoch 19 | accuracy: 0.8185555338859558 | loss: 0.6231191158294678
