SWin
epoch 0 | accuracy: 0.8562222123146057 | loss: 0.47581565380096436
epoch 1 | accuracy: 0.8722222447395325 | loss: 0.4113907814025879
epoch 2 | accuracy: 0.8885555863380432 | loss: 0.36294394731521606
epoch 3 | accuracy: 0.8973333239555359 | loss: 0.3444628417491913
epoch 4 | accuracy: 0.9167777895927429 | loss: 0.2980771064758301
epoch 5 | accuracy: 0.9068889021873474 | loss: 0.35198551416397095
epoch 6 | accuracy: 0.9115555882453918 | loss: 0.3377162516117096
epoch 7 | accuracy: 0.9108889102935791 | loss: 0.34472641348838806
epoch 8 | accuracy: 0.8995555639266968 | loss: 0.40299665927886963
epoch 9 | accuracy: 0.9097777605056763 | loss: 0.39482998847961426
epoch 10 | accuracy: 0.909333348274231 | loss: 0.40335074067115784
epoch 11 | accuracy: 0.906333327293396 | loss: 0.42568907141685486
epoch 12 | accuracy: 0.906000018119812 | loss: 0.4363761842250824
epoch 13 | accuracy: 0.9086666703224182 | loss: 0.43848174810409546
epoch 14 | accuracy: 0.9177777767181396 | loss: 0.39417189359664917
epoch 15 | accuracy: 0.9124444723129272 | loss: 0.4518185257911682
epoch 16 | accuracy: 0.9168888926506042 | loss: 0.4199833571910858
epoch 17 | accuracy: 0.920555591583252 | loss: 0.39082130789756775
epoch 18 | accuracy: 0.9167777895927429 | loss: 0.4148115813732147
epoch 19 | accuracy: 0.9098889231681824 | loss: 0.4795987606048584
