ViT
epoch 0 | accuracy: 0.7787777781486511 | loss: 0.7548666000366211
epoch 1 | accuracy: 0.8188889026641846 | loss: 0.6050196290016174
epoch 2 | accuracy: 0.8296666741371155 | loss: 0.5980043411254883
epoch 3 | accuracy: 0.8385555744171143 | loss: 0.5623968243598938
epoch 4 | accuracy: 0.8420000076293945 | loss: 0.5487825870513916
epoch 5 | accuracy: 0.8352222442626953 | loss: 0.6236286759376526
epoch 6 | accuracy: 0.8417778015136719 | loss: 0.6040802597999573
epoch 7 | accuracy: 0.7980000376701355 | loss: 0.7405837774276733
BEST - epoch 8 | accuracy: 0.8442222476005554 | loss: 0.6306297779083252
epoch 9 | accuracy: 0.8221111297607422 | loss: 0.7555375695228577
epoch 10 | accuracy: 0.8407778143882751 | loss: 0.6829572319984436
epoch 11 | accuracy: 0.8356666564941406 | loss: 0.7056884765625
epoch 12 | accuracy: 0.8306666612625122 | loss: 0.7627443671226501
epoch 13 | accuracy: 0.8385555744171143 | loss: 0.7601191401481628
epoch 14 | accuracy: 0.8311111330986023 | loss: 0.7658538222312927
epoch 15 | accuracy: 0.8388888835906982 | loss: 0.7672975659370422
epoch 16 | accuracy: 0.84333336353302 | loss: 0.7650120258331299
epoch 17 | accuracy: 0.8381111025810242 | loss: 0.8214576840400696
epoch 18 | accuracy: 0.8378888964653015 | loss: 0.7866344451904297
epoch 19 | accuracy: 0.8358889222145081 | loss: 0.803063690662384
